mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_fit_prior,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,estimator,n_tokens,tokenizer,param_C,param_fit_intercept,param_penalty,param_solver,param_n_neighbors,param_p,param_weights
0.0014834403991699219,0.0004359476645195062,0.0005686759948730468,0.00012848645993364808,0.1,True,"{'alpha': 0.1, 'fit_prior': True}",0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4166666666666667,0.4583333333333333,0.4166666666666667,0.4583333333333333,0.375,0.375,0.5217391304347826,0.43967391304347825,0.04230799754378208,5,MultinomialNB,300,roberta-base,,,,,,,
0.0011449813842773437,6.167794176372884e-05,0.0004996299743652344,4.277938924248999e-05,0.1,False,"{'alpha': 0.1, 'fit_prior': False}",0.5416666666666666,0.625,0.5833333333333334,0.5833333333333334,0.4583333333333333,0.4583333333333333,0.7083333333333334,0.4166666666666667,0.4583333333333333,0.4782608695652174,0.5311594202898551,0.0880732936931609,3,MultinomialNB,300,roberta-base,,,,,,,
0.0011766195297241212,0.00013340504672136724,0.0005298614501953125,0.00012089525099032682,0.5,True,"{'alpha': 0.5, 'fit_prior': True}",0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4166666666666667,0.4583333333333333,0.4166666666666667,0.4166666666666667,0.375,0.375,0.4782608695652174,0.4311594202898551,0.03479958824691765,7,MultinomialNB,300,roberta-base,,,,,,,
0.0013657808303833008,0.0003272703193955718,0.0006018877029418945,0.00016583184516869747,0.5,False,"{'alpha': 0.5, 'fit_prior': False}",0.625,0.625,0.5416666666666666,0.625,0.5416666666666666,0.5,0.6666666666666666,0.3333333333333333,0.4166666666666667,0.5217391304347826,0.5396739130434782,0.09878239633278185,1,MultinomialNB,300,roberta-base,,,,,,,
0.001153111457824707,9.557666773159442e-05,0.0004746198654174805,1.8701517478562218e-05,1.0,True,"{'alpha': 1.0, 'fit_prior': True}",0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4166666666666667,0.4583333333333333,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.43478260869565216,0.43514492753623185,0.019642226331057663,6,MultinomialNB,300,roberta-base,,,,,,,
0.001163649559020996,0.000173584446417792,0.0004916191101074219,4.479859089636289e-05,1.0,False,"{'alpha': 1.0, 'fit_prior': False}",0.5416666666666666,0.5,0.5833333333333334,0.625,0.5416666666666666,0.5833333333333334,0.5416666666666666,0.4166666666666667,0.375,0.6086956521739131,0.5317028985507246,0.07684768942720631,2,MultinomialNB,300,roberta-base,,,,,,,
0.00123748779296875,0.00017122644719042793,0.0005573034286499023,0.00010328447223207024,1.5,True,"{'alpha': 1.5, 'fit_prior': True}",0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.43478260869565216,0.43097826086956514,0.018677000301564748,8,MultinomialNB,300,roberta-base,,,,,,,
0.0012609243392944336,0.00023299468420566306,0.0005465507507324219,8.63025331897378e-05,1.5,False,"{'alpha': 1.5, 'fit_prior': False}",0.5,0.5,0.5,0.4583333333333333,0.5833333333333334,0.5,0.5,0.4583333333333333,0.4166666666666667,0.5652173913043478,0.49818840579710144,0.04645600123137567,4,MultinomialNB,300,roberta-base,,,,,,,
0.004077291488647461,0.003398100295269717,0.0005509376525878907,3.4621595858381576e-05,,,"{'C': 0.1, 'fit_intercept': True, 'penalty': 'l1', 'solver': 'liblinear'}",0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.43478260869565216,0.43097826086956514,0.018677000301564748,12,LogisticRegression,300,roberta-base,0.1,True,l1,liblinear,,,
0.004186034202575684,0.0009361540786898199,0.0006325244903564453,0.00012843562606365688,,,"{'C': 0.1, 'fit_intercept': True, 'penalty': 'l1', 'solver': 'saga'}",0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.43478260869565216,0.43097826086956514,0.018677000301564748,12,LogisticRegression,300,roberta-base,0.1,True,l1,saga,,,
0.0020495891571044923,5.994804642053427e-05,0.0005122661590576172,7.810712005299501e-05,,,"{'C': 0.1, 'fit_intercept': True, 'penalty': 'l2', 'solver': 'liblinear'}",0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.43478260869565216,0.43097826086956514,0.018677000301564748,12,LogisticRegression,300,roberta-base,0.1,True,l2,liblinear,,,
0.03568398952484131,0.005488910699822565,0.0006958484649658203,0.0001387275825971002,,,"{'C': 0.1, 'fit_intercept': True, 'penalty': 'l2', 'solver': 'saga'}",0.4583333333333333,0.4583333333333333,0.4583333333333333,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.43478260869565216,0.43097826086956514,0.018677000301564748,12,LogisticRegression,300,roberta-base,0.1,True,l2,saga,,,
