mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_fit_prior,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,estimator,n_tokens,tokenizer,param_C,param_fit_intercept,param_penalty,param_solver,param_n_neighbors,param_p,param_weights
0.00624840259552002,0.0012732572641887244,0.0009135723114013672,0.00019369096018751592,0.1,True,"{'alpha': 0.1, 'fit_prior': True}",0.7035830618892508,0.6938110749185668,0.6921824104234527,0.6758957654723127,0.6921824104234527,0.6970684039087948,0.6986970684039088,0.7133550488599348,0.6856677524429967,0.7014681892332789,0.695391118597595,0.009685994529159784,5,MultinomialNB,300,roberta-base,,,,,,,
0.005216288566589356,0.0005225238175955069,0.00090484619140625,0.00017966736900300063,0.1,False,"{'alpha': 0.1, 'fit_prior': False}",0.7149837133550488,0.744299674267101,0.741042345276873,0.6938110749185668,0.741042345276873,0.7312703583061889,0.7345276872964169,0.7263843648208469,0.6889250814332247,0.7389885807504079,0.7255275225701547,0.01893825277453946,3,MultinomialNB,300,roberta-base,,,,,,,
0.006308698654174804,0.0011850465769125582,0.0010805368423461915,0.0003098400096892183,0.5,True,"{'alpha': 0.5, 'fit_prior': True}",0.7035830618892508,0.6938110749185668,0.6921824104234527,0.6742671009771987,0.6889250814332247,0.6954397394136808,0.6970684039087948,0.7149837133550488,0.6872964169381107,0.7014681892332789,0.6949025192490608,0.010269796232973569,6,MultinomialNB,300,roberta-base,,,,,,,
0.005646252632141113,0.0007906554341990028,0.0009318113327026368,0.00018158779938405478,0.5,False,"{'alpha': 0.5, 'fit_prior': False}",0.7149837133550488,0.741042345276873,0.7312703583061889,0.6954397394136808,0.737785016286645,0.7361563517915309,0.737785016286645,0.7296416938110749,0.6872964169381107,0.7422512234910277,0.7253651874956826,0.018605276933061722,4,MultinomialNB,300,roberta-base,,,,,,,
0.00556643009185791,0.001120453585523966,0.0008719921112060547,0.00011763149388385665,1.0,True,"{'alpha': 1.0, 'fit_prior': True}",0.7019543973941368,0.6954397394136808,0.6905537459283387,0.6726384364820847,0.6905537459283387,0.6938110749185668,0.6954397394136808,0.7133550488599348,0.6889250814332247,0.7014681892332789,0.6944139199005266,0.010009779359931371,7,MultinomialNB,300,roberta-base,,,,,,,
0.005131292343139649,0.001111798654340881,0.001099538803100586,0.0003522210176280897,1.0,False,"{'alpha': 1.0, 'fit_prior': False}",0.7100977198697068,0.737785016286645,0.737785016286645,0.7003257328990228,0.741042345276873,0.745928338762215,0.741042345276873,0.739413680781759,0.6905537459283387,0.7455138662316476,0.7289487807599725,0.019415736829636474,2,MultinomialNB,300,roberta-base,,,,,,,
0.004604458808898926,0.001178317714548053,0.000861501693725586,0.0001258870507566128,1.5,True,"{'alpha': 1.5, 'fit_prior': True}",0.7035830618892508,0.6970684039087948,0.6905537459283387,0.6710097719869706,0.6872964169381107,0.6921824104234527,0.6954397394136808,0.7133550488599348,0.6856677524429967,0.6998368678629691,0.6935993219654499,0.010809716922989574,8,MultinomialNB,300,roberta-base,,,,,,,
0.005095744132995605,0.00047171112501111993,0.0008295536041259766,0.0002134394495352689,1.5,False,"{'alpha': 1.5, 'fit_prior': False}",0.7214983713355049,0.7361563517915309,0.747557003257329,0.7068403908794788,0.747557003257329,0.744299674267101,0.747557003257329,0.742671009771987,0.7003257328990228,0.7455138662316476,0.733997640694826,0.017022799349843278,1,MultinomialNB,300,roberta-base,,,,,,,
0.3832754611968994,0.05053306743027445,0.0009233713150024414,0.00018970412008565245,,,"{'C': 0.1, 'fit_intercept': True, 'penalty': 'l1', 'solver': 'liblinear'}",0.7214983713355049,0.7084690553745928,0.7198697068403909,0.7035830618892508,0.7166123778501629,0.7052117263843648,0.7068403908794788,0.747557003257329,0.7052117263843648,0.7096247960848288,0.7144478216280269,0.012591840377853413,20,LogisticRegression,300,roberta-base,0.1,True,l1,liblinear,,,
1.4693867444992066,0.09773441129231501,0.0008186817169189454,6.094491889266658e-05,,,"{'C': 0.1, 'fit_intercept': True, 'penalty': 'l1', 'solver': 'saga'}",0.7214983713355049,0.7035830618892508,0.7198697068403909,0.6938110749185668,0.7198697068403909,0.7035830618892508,0.7035830618892508,0.749185667752443,0.7003257328990228,0.7079934747145188,0.712330292096859,0.015137631523272826,23,LogisticRegression,300,roberta-base,0.1,True,l1,saga,,,
0.1334052562713623,0.006113773073971187,0.0009015321731567383,0.00016007157956485777,,,"{'C': 0.1, 'fit_intercept': True, 'penalty': 'l2', 'solver': 'liblinear'}",0.7084690553745928,0.7166123778501629,0.7198697068403909,0.6970684039087948,0.7100977198697068,0.7068403908794788,0.7133550488599348,0.7280130293159609,0.7084690553745928,0.7210440456769984,0.7129838833950614,0.00831686247948596,22,LogisticRegression,300,roberta-base,0.1,True,l2,liblinear,,,
0.8844138383865356,0.020866370626952183,0.000960087776184082,0.0001534176946552968,,,"{'C': 0.1, 'fit_intercept': True, 'penalty': 'l2', 'solver': 'saga'}",0.7117263843648208,0.7149837133550488,0.7198697068403909,0.7068403908794788,0.7198697068403909,0.7182410423452769,0.7149837133550488,0.7345276872964169,0.7166123778501629,0.7226753670473083,0.7180330090174344,0.006971935968822632,18,LogisticRegression,300,roberta-base,0.1,True,l2,saga,,,
